,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Gimli,28,CA,1578375218,75,50.63,-96.99,19.99,18.01
1,Vardo,1,US,1578374845,41,39.62,-77.74,39.2,4.7
2,Cape Town,96,ZA,1578374726,64,-33.93,18.42,70.0,5.82
3,Dingle,71,PH,1578374848,82,11.0,122.67,80.15,10.51
4,Severo-Kurilsk,100,RU,1578375223,78,50.68,156.12,22.03,14.85
5,Vaini,40,IN,1578374850,65,15.34,74.49,78.8,6.93
6,Deoli,10,IN,1578375225,35,25.76,75.37,70.29,8.08
7,Punta Arenas,90,CL,1578375154,87,-53.16,-70.91,51.8,9.17
8,Bluff,100,AU,1578375227,37,-23.58,149.07,89.31,12.19
9,Kodiak,1,US,1578374854,82,39.95,-94.76,33.01,8.05
10,Opelika,40,US,1578375229,87,32.65,-85.38,51.01,4.7
11,Ushuaia,75,AR,1578375198,71,-54.81,-68.31,53.6,5.82
12,Port Alfred,84,ZA,1578375202,97,-33.59,26.89,70.0,1.01
13,Oranjemund,85,ZA,1578374859,78,-28.55,16.43,63.21,12.57
14,Mataura,84,NZ,1578374861,72,-46.19,168.86,57.0,11.99
15,Saint Anthony,90,US,1578374862,80,43.97,-111.68,32.0,13.87
16,Provideniya,91,RU,1578374863,91,64.42,-173.23,-10.41,1.74
17,Bredasdorp,100,ZA,1578374756,68,-34.53,20.04,69.8,12.75
18,Thunder Bay,75,CA,1578374711,91,48.41,-89.26,28.99,4.7
19,Klaksvik,87,FO,1578374868,93,62.23,-6.59,41.0,29.97
20,Avarua,20,CK,1578374869,83,-21.21,-159.78,80.6,3.36
21,Manakara,52,MG,1578374870,67,-22.14,48.01,85.48,1.36
22,Hermanus,97,ZA,1578374871,82,-34.42,19.24,66.99,11.99
23,Mollendo,59,PE,1578374872,87,-17.03,-72.02,67.78,7.85
24,Hilo,40,US,1578374873,64,19.71,-155.08,75.99,5.82
25,Rikitea,21,PF,1578374875,78,-23.12,-134.97,77.16,15.32
26,Abu Samrah,0,SY,1578374877,67,35.3,37.18,45.79,6.76
27,Falmouth,87,GB,1578374879,100,50.16,-5.07,52.0,12.75
